,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DISTANCE,DISTANCE_GROUP
167962,WN,2797,11697,FLL,"Fort Lauderdale, FL",680.0,3
167963,WN,3576,12191,HOU,"Houston, TX",1050.0,5
167964,WN,1728,13204,MCO,"Orlando, FL",534.0,3
167966,WN,1633,13232,MDW,"Chicago, IL",632.0,3
167967,WN,1800,13232,MDW,"Chicago, IL",632.0,3
167968,WN,4795,13232,MDW,"Chicago, IL",632.0,3
167970,WN,1884,13495,MSY,"New Orleans, LA",779.0,4
167971,WN,2441,14107,PHX,"Phoenix, AZ",1891.0,8
167972,WN,4800,15016,STL,"St. Louis, MO",667.0,3
167973,WN,4829,15016,STL,"St. Louis, MO",667.0,3
167975,WN,4510,15304,TPA,"Tampa, FL",587.0,3
170815,WN,6948,13204,MCO,"Orlando, FL",534.0,3
170819,WN,6838,13232,MDW,"Chicago, IL",632.0,3
170824,WN,6762,15016,STL,"St. Louis, MO",667.0,3
179246,AA,259,14107,PHX,"Phoenix, AZ",1891.0,8
182278,AA,508,11057,CLT,"Charlotte, NC",130.0,1
184693,AA,683,11057,CLT,"Charlotte, NC",130.0,1
187071,AA,2605,11298,DFW,"Dallas/Fort Worth, TX",1061.0,5
187527,AA,2627,11298,DFW,"Dallas/Fort Worth, TX",1061.0,5
190688,AA,2846,11298,DFW,"Dallas/Fort Worth, TX",1061.0,5
190806,AA,2849,11057,CLT,"Charlotte, NC",130.0,1
190843,AA,2850,11057,CLT,"Charlotte, NC",130.0,1
190906,AA,2856,11057,CLT,"Charlotte, NC",130.0,1
215120,G4,1596,14082,PGD,"Punta Gorda, FL",645.0,3
215253,G4,1607,14082,PGD,"Punta Gorda, FL",645.0,3
215648,G4,1592,14082,PGD,"Punta Gorda, FL",645.0,3
216470,G4,2390,14761,SFB,"Sanford, FL",510.0,3
217624,G4,1687,14082,PGD,"Punta Gorda, FL",645.0,3
217942,G4,1593,14082,PGD,"Punta Gorda, FL",645.0,3
219088,G4,1591,14082,PGD,"Punta Gorda, FL",645.0,3
221479,G4,2389,14761,SFB,"Sanford, FL",510.0,3
223951,YV,6093,12266,IAH,"Houston, TX",1042.0,5
224036,YV,6048,12266,IAH,"Houston, TX",1042.0,5
224378,YV,6229,12264,IAD,"Washington, DC",224.0,1
225050,YV,6197,12264,IAD,"Washington, DC",224.0,1
232322,9E,4631,12478,JFK,"New York, NY",427.0,2
233269,9E,4659,12478,JFK,"New York, NY",427.0,2
235552,9E,4727,13487,MSP,"Minneapolis, MN",980.0,4
236115,9E,4745,13487,MSP,"Minneapolis, MN",980.0,4
239771,UA,1063,12264,IAD,"Washington, DC",224.0,1
239837,UA,755,12266,IAH,"Houston, TX",1042.0,5
239894,UA,678,12264,IAD,"Washington, DC",224.0,1
242435,UA,330,11618,EWR,"Newark, NJ",416.0,2
250225,YX,3619,13930,ORD,"Chicago, IL",646.0,3
250250,YX,3716,13930,ORD,"Chicago, IL",646.0,3
250343,YX,3505,11618,EWR,"Newark, NJ",416.0,2
250353,YX,3515,12264,IAD,"Washington, DC",224.0,1
251179,YX,3614,11618,EWR,"Newark, NJ",416.0,2
255310,WN,2621,10397,ATL,"Atlanta, GA",356.0,2
255311,WN,2627,10397,ATL,"Atlanta, GA",356.0,2
255312,WN,32,10693,BNA,"Nashville, TN",442.0,2
255313,WN,1919,10693,BNA,"Nashville, TN",442.0,2
255314,WN,2336,10821,BWI,"Baltimore, MD",255.0,2
255315,WN,2414,10821,BWI,"Baltimore, MD",255.0,2
255316,WN,2420,10821,BWI,"Baltimore, MD",255.0,2
255317,WN,2415,11292,DEN,"Denver, CO",1436.0,6
255318,WN,2540,13204,MCO,"Orlando, FL",534.0,3
255319,WN,2232,13232,MDW,"Chicago, IL",632.0,3
255320,WN,3002,13232,MDW,"Chicago, IL",632.0,3
255321,WN,1174,15016,STL,"St. Louis, MO",667.0,3
261034,WN,500,10397,ATL,"Atlanta, GA",356.0,2
261038,WN,192,10821,BWI,"Baltimore, MD",255.0,2
261041,WN,223,13204,MCO,"Orlando, FL",534.0,3
261042,WN,1118,13204,MCO,"Orlando, FL",534.0,3
262788,WN,6095,13204,MCO,"Orlando, FL",534.0,3
264772,WN,6006,10693,BNA,"Nashville, TN",442.0,2
269678,WN,6840,13232,MDW,"Chicago, IL",632.0,3
276251,WN,6746,13232,MDW,"Chicago, IL",632.0,3
288259,AS,753,14747,SEA,"Seattle, WA",2354.0,10
318230,MQ,4060,13930,ORD,"Chicago, IL",646.0,3
329049,B6,2184,10721,BOS,"Boston, MA",612.0,3
329073,B6,184,10721,BOS,"Boston, MA",612.0,3
329076,B6,86,12478,JFK,"New York, NY",427.0,2
329107,B6,1384,10721,BOS,"Boston, MA",612.0,3
331487,B6,2625,11697,FLL,"Fort Lauderdale, FL",680.0,3
332169,B6,555,14635,RSW,"Fort Myers, FL",667.0,3
332319,B6,1986,12478,JFK,"New York, NY",427.0,2
332636,B6,1063,14843,SJU,"San Juan, PR",1433.0,6
338237,YX,4557,13303,MIA,"Miami, FL",700.0,3
338444,YX,4569,14100,PHL,"Philadelphia, PA",337.0,2
339090,YX,4617,13303,MIA,"Miami, FL",700.0,3
339303,YX,4629,13930,ORD,"Chicago, IL",646.0,3
340341,YX,4690,13303,MIA,"Miami, FL",700.0,3
340343,YX,4690,14100,PHL,"Philadelphia, PA",337.0,2
340722,YX,4719,13930,ORD,"Chicago, IL",646.0,3
340890,YX,4725,13930,ORD,"Chicago, IL",646.0,3
345035,YX,5599,10721,BOS,"Boston, MA",612.0,3
345038,YX,5604,12478,JFK,"New York, NY",427.0,2
345043,YX,5613,12953,LGA,"New York, NY",431.0,2
345044,YX,5615,12953,LGA,"New York, NY",431.0,2
345081,YX,5693,10721,BOS,"Boston, MA",612.0,3
345618,YX,5612,10721,BOS,"Boston, MA",612.0,3
345645,YX,5638,12953,LGA,"New York, NY",431.0,2
347341,YX,5813,11433,DTW,"Detroit, MI",501.0,3
357033,WN,6113,13204,MCO,"Orlando, FL",534.0,3
357036,WN,6975,13232,MDW,"Chicago, IL",632.0,3
